Sitio,Altura promedio,DE_Altura,Altura_prom_perc90-100,Altura_prom_10+A,Suma Coberturas_ha,SumaAB_ha,SumaAGB_ha,sdAGB,IC2.5,IC97.5,Unknown.species.inds,Dens_ha,Riqueza,Simpson,Shannon,zmax,zmean,zsd,zskew,zkurt,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imean,isd,iskew,ikurt,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,n,area
1,12.05883721,6.36382904,21.27333333,20.684,13111.4393,13.04750051,123.9221877,9.883885286,105.8421157,143.8379751,0,344,5,0.737696052,1.429840418,21.445,8.335059263,6.373764593,0.217787549,1.527409578,46.13753023,77.97480168,0.13,0.354,1.2328,1.765,2.365,2.9476,3.6136,4.4106,5.4848,6.823,8.8938,11.0814,12.4948,13.6756,14.773,15.5126,16.2112,16.9658,17.883,23.15168492,39.25812749,48.62914863,54.27383074,58.75986758,66.54358713,76.39843816,91.09583227,98.21322468,486102471,20621.15433,20066.41483,0.855416449,2.175448044,8.670765839,24.9393256,45.34707848,60.74837604,85.02519811,43.82556314,32.35905485,16.35345522,5.735375217,1.412633097,23573,2779.98442
2,12.66509804,4.783585422,20.07333333,19.558,21867.27884,20.45518425,174.4490078,14.55593703,148.1095369,205.8233323,0,408,5,0.705113418,1.380131266,20.881,9.484380213,5.063603468,-0.320006152,2.078590495,57.35010037,88.24286959,0.273,1.568,2.797,4.087,5.483,6.72,7.738,8.932,9.86,10.471,11.069,11.703,12.194,12.7,13.334,14.098,14.787,15.644,16.622,12.0638048,20.33493729,27.98848179,37.54783465,49.75561702,68.40829008,83.72295684,95.21085136,99.09824575,605573534,22937.52259,22423.06326,0.668609648,1.760984028,5.326575748,16.1521869,34.26827583,60.92342206,86.7268884,44.49073899,31.73364645,16.15847885,5.768720882,1.534032802,26401,2749.497186
3,12.438,4.471899298,19.5,16.98,15202.47919,15.61211299,138.694999,12.80003212,115.5111812,164.4762638,0,200,3,0.6624,1.092019287,18.588,8.188474902,5.211304272,0.024310221,1.762186074,50.0206659,83.5315729,0.206,1.078,1.7752,2.526,3.294,4.4414,5.409,6.3376,7.2603,8.193,9.2657,10.3074,11.163,11.8238,12.643,13.4482,14.1879,15.224,16.443,15.47969123,26.86546591,35.83440544,45.82337806,55.15070759,64.90994303,77.05844514,88.51773571,96.26447344,583996623,26819.59233,23186.45539,0.366746405,1.420366496,7.647788402,23.15839967,41.66877811,63.57943186,86.28198146,50.56716418,31.80711825,13.06544202,3.79793341,0.665901263,21775,1249.525045
4,12.9022449,4.446736287,19.51166667,18.841,20072.47893,22.09526628,181.4424737,13.78660694,155.5542596,210.3624154,0,392,4,0.433152853,0.847111675,19.403,9.254187635,4.539255727,-0.475351081,2.322792372,57.1730354,89.94930054,0.27005,1.984,3.457,4.933,6.101,7.257,8.164,8.861,9.554,10.126,10.713,11.208,11.65665,12.0907,12.63525,13.306,13.94585,14.655,15.38795,9.875093914,16.38335838,23.78380917,32.54601803,46.12603306,64.8055973,82.25957926,95.77854996,99.08433509,556332985,26116.46723,23647.72469,0.404758014,1.407366729,5.187699054,15.75933503,34.38705095,57.16547186,84.48824385,47.77016243,33.04384565,14.20523894,4.023096423,0.788658342,21302,1249.825003
5,13.26333333,5.195324727,21.80375,21.277,20368.87892,21.37582745,204.8602764,13.37375811,181.4225107,233.0897401,0,552,4,0.552825037,1.008002409,21.243,10.96561602,5.847320537,-0.61807527,1.966070339,62.56711409,87.22315436,0.204,1.4109,2.664,3.7948,5.21625,7.831,10.351,11.495,12.4301,13.249,13.78845,14.26,14.734,15.195,15.593,16.022,16.455,17.0401,17.83905,13.2248049,21.70428799,27.54468406,31.13619199,36.02416716,46.47562306,66.4764622,89.6114794,98.89653436,489900758,20549.52844,20454.24554,0.842745448,2.1272787,6.351016505,21.50750806,33.86855486,53.92034401,82.97177119,42.38255034,32.39513423,17.40352349,5.989932886,1.510067114,23840,2759.725566
6,12.69261905,5.882889642,20.278,19.418,9761.839481,12.42005956,113.2751188,9.294157174,96.04394017,133.527743,0,336,5,0.592970522,1.128583625,16.917,7.30194877,4.388605967,-0.077765234,1.84526836,52.34297558,83.34234478,0.241,1.0463,1.7389,2.5246,3.37725,4.21,5.131,6.1082,6.9137,7.648,8.4163,9.162,9.85045,10.4401,10.92575,11.469,12.189,12.8677,13.99235,14.61337419,25.01802451,34.68366979,43.97080029,55.27667628,67.3666186,82.64239366,93.51568133,98.52198991,469281426,21144.51771,21154.1439,0.8057405,2.014479356,5.690536109,16.21750612,32.6708671,54.69269819,84.72929845,40.67315491,33.07650716,17.65792557,6.569343066,1.631071461,22194,1249.77501
7,9.535818182,3.610510219,16.11666667,14.914,15880.15915,20.92354921,128.4851964,8.648210297,112.6275135,146.0384563,0,440,4,0.540165289,0.948578502,19.442,8.362448258,5.675818521,-0.026169814,1.588027419,53.14333967,78.83892759,0.1812,0.8554,1.397,1.8908,2.429,3.308,4.468,6.1882,7.867,9.121,10.326,11.2164,11.8366,12.4238,13.168,14.0852,14.953,15.742,16.841,20.57953873,32.60961392,39.38920335,44.70304976,52.44572104,63.59719524,77.66325927,88.85274985,97.8415139,606263218,25596.92708,22763.26791,0.450059553,1.506371937,9.552399235,30.9534975,46.24628308,67.51380042,87.77042779,50.19632679,30.33565548,13.523327,4.60206882,1.127295757,23685,1249.800006
8,14.41333333,4.846179413,21.53142857,20.884,15943.27915,19.63768745,199.7233058,12.96746966,176.5975125,228.2338402,0,552,4,0.430581811,0.858132234,24.686,11.55008457,5.096136874,-0.567341565,2.967586624,59.20954512,92.70518051,1.2466,2.8816,5.2354,7.773,9.023,9.9626,10.7596,11.4614,12.0242,12.56,13.0368,13.562,14.022,14.566,15.181,15.7008,16.25,16.805,17.583,8.818110029,14.52575239,19.02693691,29.54724928,47.92489252,72.04527507,93.59480565,97.43353514,98.37676582,535389239,23485.07431,22177.48035,0.62801219,1.730058037,4.078321791,17.22064496,35.78452704,58.48606849,85.62533921,44.83923323,31.62696846,15.91876124,5.737597052,1.526516647,22797,1249.575021
10,8.837567568,4.734096421,19.09,15.428,13045.51931,12.88769433,95.82053042,12.37077692,74.849395,121.9227081,1,296,6,0.527392257,1.062401193,20.831,7.067759671,4.924190789,0.421867104,2.284565219,45.81551322,81.5464619,0.165,0.96,1.629,2.158,2.78275,3.4505,4.248,5.028,5.691,6.369,7.22025,8.154,9.1215,10.0675,10.91825,11.699,12.80075,13.863,15.338,19.21917542,34.45643718,49.22695449,60.94418514,72.02936601,83.6882536,93.10579541,96.53831194,98.67755737,577487394,28066.06697,24230.9027,0.332252568,1.363138625,6.923382123,24.93803233,44.78747964,64.42910111,88.38328668,48.9842535,31.07989891,14.11353033,4.583009331,1.05462675,20576,1249.500032
11,12.3483871,4.978594244,20.1825,18.171,11812.95937,12.71255325,106.4484932,9.723949596,88.92047388,127.053618,0,248,4,0.73673257,1.359729599,20.187,9.744228372,5.848531254,-0.329590961,1.659345513,57.3975708,84.50789999,0.202,1.1666,1.911,2.743,3.562,4.783,7.2878,9.0828,10.4002,11.397,12.374,13.038,13.596,14.2562,14.823,15.3398,15.8126,16.437,17.3004,15.53230394,27.58363809,32.56806176,36.86170933,43.72883652,53.58594067,69.01327374,87.93512122,98.07327645,758015031,25645.87174,23137.86562,0.473812104,1.522053144,8.069835755,25.61194172,39.62275492,57.93715864,84.82446386,48.36756098,32.29015123,14.12524952,4.185133809,0.896572724,29557,1249.750008
